history,scenario,mode,attempt_budget,policy,requests,seeds,success_rate,success_rate_seed_sd,mean_cost,mean_attempts,cost_per_success,repeat_after_failure,retry_opportunities,first_failures,recovery_given_first_failure
1000,id,episodic,3,switch_on_failure,180,3,0.6444444444444445,0.06309898162000305,4.8729967715398494,2.0166666666666666,7.561546714458398,0.0,183,117,0.452991452991453
1000,id,episodic,5,original,180,3,0.65,0.033333333333333326,4.124594862845494,2.95,6.345530558223843,0.9031339031339032,351,117,0.46153846153846156
1000,id,episodic,5,ewma,180,3,0.7444444444444445,0.08552669065744806,3.4096002806492467,2.7222222222222223,4.580060078484069,0.2709677419354839,310,110,0.5818181818181818
1000,id,episodic,5,repeat_initial,180,3,0.6055555555555555,0.009622504486493794,4.121557249177303,2.9277777777777776,6.806241328916653,1.0,347,117,0.39316239316239315
1000,id,episodic,5,switch_on_failure,180,3,0.6555555555555556,0.06735753140545629,5.5831321262066,2.183333333333333,8.51664222641686,0.0,213,117,0.4700854700854701
1000,arm_shift,episodic,1,original,180,3,0.38333333333333336,0.044095855184409866,1.5255700574313935,1.0,3.9797479759079883,,0,111,0.0
1000,arm_shift,episodic,1,ewma,180,3,0.34444444444444444,0.09477067838462212,1.2400768954064976,1.0,3.600223244728545,,0,118,0.0
1000,arm_shift,episodic,1,repeat_initial,180,3,0.38333333333333336,0.044095855184409866,1.5255700574313935,1.0,3.9797479759079883,,0,111,0.0
1000,arm_shift,episodic,1,switch_on_failure,180,3,0.38333333333333336,0.044095855184409866,1.5255700574313935,1.0,3.9797479759079883,,0,111,0.0
1000,arm_shift,episodic,2,original,180,3,0.5055555555555555,0.0693888666488711,2.45223463784382,1.6166666666666667,4.850574008921846,0.9099099099099099,111,111,0.1981981981981982
1000,arm_shift,episodic,2,ewma,180,3,0.5444444444444444,0.06938886664887108,2.085166842072446,1.6555555555555554,3.8298982813575586,0.4322033898305085,118,118,0.3050847457627119
1000,arm_shift,episodic,2,repeat_initial,180,3,0.4888888888888889,0.08552669065744808,2.536160229269529,1.6166666666666667,5.187600468960405,1.0,111,111,0.17117117117117117
1000,arm_shift,episodic,2,switch_on_failure,180,3,0.49444444444444446,0.00962250448649376,3.4791368850153312,1.6166666666666667,7.0364566213793305,0.0,111,111,0.18018018018018017
1000,arm_shift,episodic,3,original,180,3,0.5555555555555556,0.04194352464039301,3.225497476795182,2.111111111111111,5.805895458231336,0.9,200,111,0.27927927927927926
1000,arm_shift,episodic,3,ewma,180,3,0.6166666666666667,0.033333333333333326,2.649388781864627,2.111111111111111,4.296306132753455,0.37,200,118,0.4152542372881356
1000,arm_shift,episodic,3,repeat_initial,180,3,0.5444444444444444,0.048112522432468774,3.4184507186188613,2.1277777777777778,6.278787034197914,1.0,203,111,0.26126126126126126
1000,arm_shift,episodic,3,switch_on_failure,180,3,0.5722222222222222,0.041943524640393075,4.982907315979814,2.011111111111111,8.707993367731726,0.0,182,111,0.3063063063063063
1000,arm_shift,episodic,5,original,180,3,0.6333333333333333,0.016666666666666663,4.238032635513955,2.8833333333333333,6.691630477127304,0.9026548672566371,339,111,0.40540540540540543
1000,arm_shift,episodic,5,ewma,180,3,0.7166666666666667,0.016666666666666663,3.513651920826967,2.811111111111111,4.902770122084147,0.2791411042944785,326,118,0.5677966101694916
1000,arm_shift,episodic,5,repeat_initial,180,3,0.5944444444444444,0.01924500897298752,4.320098831092255,2.85,7.267455977538382,1.0,333,111,0.34234234234234234
1000,arm_shift,episodic,5,switch_on_failure,180,3,0.6166666666666667,0.07637626158259729,5.84297576282596,2.2055555555555557,9.475095831609673,0.0,217,111,0.3783783783783784
