history,scenario,attempt_budget,policy,unique_questions,paired_episodes,success_delta,success_delta_low,success_delta_high,cost_delta,cost_delta_low,cost_delta_high
200,arm_shift,5,ewma,60,180,0.12777777777777777,0.055555555555555566,0.19444444444444448,-0.7598955899243932,-1.070600326878027,-0.4805189658003125
200,arm_shift,5,original,60,180,0.011111111111111108,-0.04444444444444444,0.06666666666666667,0.2599260078441746,-0.04443540352069224,0.5867120371787098
200,arm_shift,5,repeat_initial,60,180,-0.044444444444444446,-0.1111111111111111,0.02222222222222222,0.22978023817552154,-0.1464082581552841,0.6525228380487319
200,arm_shift,5,switch_on_failure,60,180,-0.016666666666666666,-0.05555555555555556,0.016666666666666666,-0.012881817821348335,-0.33763882608181517,0.35127178784320384
200,id,1,ewma,60,180,-0.06666666666666667,-0.1111111111111111,-0.02222222222222222,-0.11877488509584606,-0.14910038767350892,-0.08844938251818327
200,id,1,original,60,180,0.03888888888888889,-0.0055555555555555575,0.08333333333333331,0.07263836890181148,-0.00881197620414024,0.1527921893526825
200,id,1,repeat_initial,60,180,0.03888888888888889,-0.0055555555555555575,0.08333333333333331,0.07263836890181148,-0.005636588661794653,0.15028127069606573
200,id,1,switch_on_failure,60,180,0.03888888888888889,-0.0055555555555555575,0.08333333333333331,0.07263836890181148,-0.0037577257745297645,0.1496972843614976
200,id,2,ewma,60,180,0.0,-0.03888888888888888,0.04444444444444444,-0.06979809493281607,-0.134472588713478,-0.009689079083968133
200,id,2,original,60,180,0.022222222222222216,-0.02222222222222222,0.06124999999999925,0.08681910952383255,-0.021584125323595174,0.19328256853866024
200,id,2,repeat_initial,60,180,-9.251858538542971e-19,-0.05,0.05013888888888814,0.0640749825905854,-0.055577497436891235,0.17881385150922102
200,id,2,switch_on_failure,60,180,-0.016666666666666666,-0.05555555555555555,0.016666666666666666,0.011094016993122173,-0.1568732140184329,0.18982671138996923
200,id,3,ewma,60,180,-0.022222222222222223,-0.06680555555555556,0.02777777777777778,-0.09254222186606317,-0.19866534697402077,0.006977587582698543
200,id,3,original,60,180,0.061111111111111116,0.011111111111111108,0.11666666666666664,0.18583297351690545,0.06736690265163388,0.3186174411623835
200,id,3,repeat_initial,60,180,0.03333333333333333,-0.011111111111111112,0.07777777777777777,0.08681910952383255,-0.07616189469745857,0.2568840623008586
200,id,3,switch_on_failure,60,180,-0.005555555555555555,-0.03333333333333333,0.02222222222222222,0.026828255898517405,-0.18005184027121973,0.24809999762960022
200,id,5,ewma,60,180,-0.011111111111111112,-0.05,0.03333333333333333,0.00885593548033643,-0.17352484546937513,0.1750982723552319
200,id,5,original,60,180,0.07777777777777777,0.027777777777777776,0.12777777777777777,0.11877918321847446,-0.0650390936985941,0.3037608260540184
200,id,5,repeat_initial,60,180,0.03888888888888888,-0.0055555555555555575,0.08347222222222148,0.022178262946026032,-0.17541547744688799,0.2141207814960571
200,id,5,switch_on_failure,60,180,-0.02222222222222222,-0.04444444444444444,-0.005555555555555555,-0.12098701454924606,-0.37802127400756225,0.1319115216827168
50,arm_shift,1,ewma,60,180,-0.0055555555555555575,-0.05555555555555556,0.03888888888888888,0.10354620971165852,0.044191729211413525,0.1742559981890374
50,arm_shift,1,original,60,180,-0.011111111111111108,-0.06111111111111111,0.03888888888888888,0.11778032562617388,0.043905455137386556,0.19670354551732044
50,arm_shift,1,repeat_initial,60,180,-0.011111111111111108,-0.061111111111111116,0.04444444444444443,0.11778032562617388,0.03917263786316611,0.20095770201188964
50,arm_shift,1,switch_on_failure,60,180,-0.011111111111111108,-0.06111111111111111,0.03333333333333333,0.11778032562617388,0.04237879041950483,0.20109596667666024
50,arm_shift,2,ewma,60,180,0.016666666666666666,-0.03888888888888889,0.07777777777777777,0.13806481909443996,0.018487672415506563,0.2581432708993184
50,arm_shift,2,original,60,180,0.011111111111111112,-0.05000000000000001,0.07777777777777777,0.20623775892657512,0.0879611526615216,0.32137120381056816
